Event	ID	Name			Wwise Object Path	Notes
	1656055475	Map_Completed			\Music\Map_Completed	
	1815461482	Story_End			\Music\Story_End	
	2415014760	Monsters_Unaware			\Music\Monsters_Unaware	
	2778113369	Story_Start			\Music\Story_Start	
	2985974755	Boss_Start			\Music\Boss_Start	
	3430883159	Monsters_Aware			\Music\Monsters_Aware	
	3991942870	Music			\Music\Music	

Switch Group	ID	Name			Wwise Object Path	Notes
	2702523344	Gameplay_Switch			\Music\Gameplay_Switch	

Switch	ID	Name	Switch Group			Notes
	579523862	Explore	Gameplay_Switch			
	2764240573	Combat	Gameplay_Switch			

State Group	ID	Name			Wwise Object Path	Notes
	444815956	PlayerLife			\Default Work Unit\PlayerLife	Player is alive or dead.
	1642418719	PlayerHasQuad			\Default Work Unit\PlayerHasQuad	Player is in quad damage mode.
	3826569560	Music_State			\Music\Music_State	

State	ID	Name	State Group			Notes
	0	None	PlayerLife			
	655265632	Alive	PlayerLife			
	2044049779	Dead	PlayerLife			
	0	None	PlayerHasQuad			
	979470758	Yes	PlayerHasQuad			
	1668749452	No	PlayerHasQuad			
	0	None	Music_State			
	89505537	Gameplay	Music_State			
	1560169506	Boss	Music_State			
	1686739444	Story	Music_State			
	2716678721	Victory	Music_State			

Custom State	ID	Name	State Group	Owner		Notes
	38933209	No	PlayerHasQuad	\Interactive Music Hierarchy\Music\Wwise 201 Music\Combat\Combat-A\Combat-A-Arpeggio1_138bpm4-4-L8M-P0		
	543777673	No	PlayerHasQuad	\Interactive Music Hierarchy\Music\Wwise 201 Music\Combat\Combat-B\Combat-B-Arpeggio1_138bpm4-4-L8M-P0		

Game Parameter	ID	Name			Wwise Object Path	Notes
	2	CC #1: Modulation			\CC 0-31\CC #1: Modulation	
	151362964	PlayerHealth			\Default Work Unit\PlayerHealth	
	3963624107	EnemyAware			\Music\EnemyAware	

Modulator LFO	ID	Name			Wwise Object Path	Notes
	274311271	Synth Vibrato			\Default Work Unit\Synth Vibrato	

Modulator Envelope	ID	Name			Wwise Object Path	Notes
	17646280	Modulator Envelope (Custom)				
	395999090	Modulator Envelope (Custom)				

Trigger	ID	Name			Wwise Object Path	Notes
	2077047193	Cymbal_Swell			\Music\Cymbal_Swell	
	3371734183	Health_Cue			\Music\Health_Cue	

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	383507418	Wwise Synth One	Wwise Synth One		\Actor-Mixer Hierarchy\Music\Melody Synth\Wwise Synth One	
	742147924	Wwise Synth One	Wwise Synth One		\Actor-Mixer Hierarchy\Music\Arpeggio Synth\Wwise Synth One	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1419702	Explore-Theme_138bpm4-4_L16M-P1M	D:\Jenkins\ws\wwise_v2019.1\Cube\WwiseProject\.cache\Windows\SFX\Explore-Theme_138bpm4-4_L16M-P1M_91B2A2BD.wem		\Interactive Music Hierarchy\Music\Wwise 201 Music\Explore\Explore-Theme_138bpm4-4_L16M-P1M\Explore-Theme_138bpm4-4_L16M-P1M		476806
	13403689	Combat-A-Arpeggio1_138bpm4-4-L8M-P0	D:\Jenkins\ws\wwise_v2019.1\Cube\WwiseProject\.cache\Windows\SFX\Combat-A\Combat-A-Arpeggio_138bpm4-4-L8M-P0_91B2A2BD.wem		\Interactive Music Hierarchy\Music\Wwise 201 Music\Combat\Combat-A\Combat-A-Arpeggio1_138bpm4-4-L8M-P0		294145
	18631103	Story-Main_90bpm4-4_L24M-P0	D:\Jenkins\ws\wwise_v2019.1\Cube\WwiseProject\.cache\Windows\SFX\Story-Main_90bpm4-4_L24M-P0_91B2A2BD.wem		\Interactive Music Hierarchy\Music\Wwise 201 Music\Story\Story-Main\Story-Main_90bpm4-4_L24M-P0		1017414
	52659235	Combat-B-Gtr1_138bpm4-4_L8M-P0	D:\Jenkins\ws\wwise_v2019.1\Cube\WwiseProject\.cache\Windows\SFX\Combat-B-Gtr3_138bpm4-4_L8M-P0_91B2A2BD.wem		\Interactive Music Hierarchy\Music\Wwise 201 Music\Combat\Combat-B\Combat-B-Gtr1_138bpm4-4_L8M-P0		185255
	63120975	Combat-Bridge-Gtr1_138bpm4-4_L17M-P1B	D:\Jenkins\ws\wwise_v2019.1\Cube\WwiseProject\.cache\Windows\SFX\Combat-Bridge\Combat-Bridge-Gtr3_138bpm4-4_L17M-P1B_91B2A2BD.wem		\Interactive Music Hierarchy\Music\Wwise 201 Music\Combat\Combat-Bridge\Combat-Bridge-Gtr1_138bpm4-4_L17M-P1B		491187
	89540310	Boss-B_155bpm3-4_L1M-P0	D:\Jenkins\ws\wwise_v2019.1\Cube\WwiseProject\.cache\Windows\SFX\Boss-B_155bpm3-4_L1M-P0_91B2A2BD.wem		\Interactive Music Hierarchy\Music\Wwise 201 Music\Boss\Boss-B\Boss-B_155bpm3-4_L1M-P0		67983
	91307760	Boss-D-Sampler-Suling1_155bpm4-4_L8M-P0	D:\Jenkins\ws\wwise_v2019.1\Cube\WwiseProject\.cache\Windows\SFX\Boss-D-Sampler-Suling3_155bpm4-4_L8M-P0_00000000.wem		\Interactive Music Hierarchy\Music\Wwise 201 Music\Boss\Boss-D\Boss-D-Sampler-Suling1_155bpm4-4_L8M-P0		371
	99497700	Combat-A-Bass1_138bpm4-4_L8M-P0	D:\Jenkins\ws\wwise_v2019.1\Cube\WwiseProject\.cache\Windows\SFX\Combat-A\Combat-A-Bass2_138bpm4-4_L8M-P0_91B2A2BD.wem		\Interactive Music Hierarchy\Music\Wwise 201 Music\Combat\Combat-A\Combat-A-Bass1_138bpm4-4_L8M-P0		35832
	107459105	Boss-Intro_155bpm4-4_L10M-P1M	D:\Jenkins\ws\wwise_v2019.1\Cube\WwiseProject\.cache\Windows\SFX\Boss-Intro_155bpm4-4_L10M-P1M_91B2A2BD.wem		\Interactive Music Hierarchy\Music\Wwise 201 Music\Boss\Boss-Intro\Boss-Intro_155bpm4-4_L10M-P1M		352384
	129500983	Suling_D#5	D:\Jenkins\ws\wwise_v2019.1\Cube\WwiseProject\.cache\Windows\SFX\Boss-D Suling Samples\Suling_D#5_CC87FBFB.wem		\Actor-Mixer Hierarchy\Music\Boss-D Suling Samples\Suling_D#5		1189228
